Twenty-First,FOXA,'FOXA'
CBRE,CBG,'CBG'
Walt,DIS,'DIS'
Compass,CMP,'CMP'
Wells,WFC,'WFC'
American,AXP,'AXP'
Berkshire,BRK.B,'BRK.B'
Emerson,EMR,'EMR'
Polaris,PII,'PII'
Bristol-Myers,BMY,'BMY'
Starbucks,SBUX,'SBUX'
United,UTX,'UTX'
Mastercard,MA,'MA'
Amazon.com,AMZN,'AMZN'
Biogen,BIIB,'BIIB'
AmerisourceBergen,ABC,'ABC'
Express,ESRX,'ESRX'
Varian,VAR,'VAR'
Monsanto,MON,'MON'
Lowe's,LOW,'LOW'
Jones,JLL,'JLL'
Visa,V,'V'
V,VF,'VF'
VF,VFC,'VFC'
Stericycle,SRCL,'SRCL'
Salesforce.com,CRM,'CRM'
Gilead,GILD,'GILD'
Amgen,AMGN,'AMGN'
McKesson,MCK,'MCK'
Lilly,LLY,'LLY'
Allergan,AGN,'AGN'
CSX,CSX,'CSX'
Deere,DE,'DE'
Tiffany,TIF,'TIF'
Time,TWX,'TWX'
US,USB,'USB'
Norfolk,NSC,'NSC'
Harley-Davidson,HOG,'HOG'
The,BK,'BK'
State,STT,'STT'
Microsoft,MSFT,'MSFT'
Guidewire,GWRE,'GWRE'
Pfizer,PFE,'PFE'
Medtronic,MDT,'MDT'
Mead,MJN,'MJN'
Patterson,PDCO,'PDCO'
Cerner,CERN,'CERN'
Zimmer,ZBH,'ZBH'
Mondelez,MDLZ,'MDLZ'
CVS,CVS,'CVS'
TransDigm,TDG,'TDG'